"geometry";"rivers";"model_type";"stat";"NCP";"X";"Y";"alt";"id"
"419";c(3671516.29107806, 2553514.02327208, 297);"Vienne";"M2";"Low";2;3671516.29107806;2553514.02327208;297;"Upper_point"
"420";c(3671148.44335501, 2553757.49849713, 303);"Vienne";"M2";"Up";2;3671148.44335501;2553757.49849713;303;"Upper_point"
"421";c(3603635.26773158, 2645403.29712878, 68);"Vienne";"M2";"Est";2;3603635.26773158;2645403.29712878;68;"Lower_point"
"422";c(3603227.20951937, 2644103.15094369, 67);"Vienne";"M2";"Low";2;3603227.20951937;2644103.15094369;67;"Lower_point"
"423";c(3604292.35607844, 2646464.82272313, 65);"Vienne";"M2";"Up";2;3604292.35607844;2646464.82272313;65;"Lower_point"
"424";c(3840640.74634387, 2704027.64655408, 186);"Yonne";"M1";"Est";1;3840640.74634387;2704027.64655408;186;"Only_point"
"425";c(3840630.04503043, 2703534.30353794, 189);"Yonne";"M1";"Low";1;3840630.04503043;2703534.30353794;189;"Only_point"
"426";c(3840879.63402256, 2704481.6679257, 185);"Yonne";"M1";"Up";1;3840879.63402256;2704481.6679257;185;"Only_point"
"427";c(3851894.78642969, 2694054.65788267, 249);"Yonne";"M2";"Est";3;3851894.78642969;2694054.65788267;249;"Upper_point"
"428";c(3852167.79307679, 2694004.40240205, 251);"Yonne";"M2";"Low";3;3852167.79307679;2694004.40240205;251;"Upper_point"
"429";c(3851696.24221198, 2694062.8276151, 251);"Yonne";"M2";"Up";3;3851696.24221198;2694062.8276151;251;"Upper_point"
"430";c(3837694.61034738, 2774354.04604426, 81);"Yonne";"M2";"Est";3;3837694.61034738;2774354.04604426;81;"Lower_point"
"431";c(3837900.73279678, 2772705.5743892, 85);"Yonne";"M2";"Low";3;3837900.73279678;2772705.5743892;85;"Lower_point"
"432";c(3837459.40003298, 2775625.9415683, 81);"Yonne";"M2";"Up";3;3837459.40003298;2775625.9415683;81;"Lower_point"
