"geometry";"rivers";"model_type";"stat";"NCP";"X";"Y";"alt";"id"
"98";c(4383678.77405775, 2845714.24765452, 401);"Danube";"M2";"Low";5;4383678.77405775;2845714.24765452;401;"Lower_point"
"99";c(4385706.59199864, 2846295.29331035, 401);"Danube";"M2";"Up";5;4385706.59199864;2846295.29331035;401;"Lower_point"
"100";c(3704430.97563682, 2489374.61090063, 265);"Dordogne";"M1";"Est";1;3704430.97563682;2489374.61090063;265;"Only_point"
"101";c(3705241.25440729, 2489683.90165136, 265);"Dordogne";"M1";"Low";1;3705241.25440729;2489683.90165136;265;"Only_point"
"102";c(3703694.72462419, 2490135.2874722, 265);"Dordogne";"M1";"Up";1;3703694.72462419;2490135.2874722;265;"Only_point"
"103";c(3739939.33790638, 2526239.22863801, 585);"Dordogne";"M2";"Est";2;3739939.33790638;2526239.22863801;585;"Upper_point"
"104";c(3740173.57491406, 2526403.88002109, 590);"Dordogne";"M2";"Low";2;3740173.57491406;2526403.88002109;590;"Upper_point"
"105";c(3739620.93630919, 2526065.63296949, 584);"Dordogne";"M2";"Up";2;3739620.93630919;2526065.63296949;584;"Upper_point"
"106";c(3676951.04907941, 2465977.31267439, 143);"Dordogne";"M2";"Est";2;3676951.04907941;2465977.31267439;143;"Lower_point"
"107";c(3677209.22098192, 2466913.64244341, 149);"Dordogne";"M2";"Low";2;3677209.22098192;2466913.64244341;149;"Lower_point"
"108";c(3677440.79996048, 2465334.91114934, 147);"Dordogne";"M2";"Up";2;3677440.79996048;2465334.91114934;147;"Lower_point"
"109";c(4078848.6334484, 2708720.58207299, 333);"Doubs";"M1";"Est";1;4078848.6334484;2708720.58207299;333;"Only_point"
"110";c(4078483.14823018, 2708158.10785753, 335);"Doubs";"M1";"Low";1;4078483.14823018;2708158.10785753;335;"Only_point"
"111";c(4078961.16486755, 2709497.99688446, 335);"Doubs";"M1";"Up";1;4078961.16486755;2709497.99688446;335;"Only_point"
"112";c(4077555.92412788, 2695673.86044689, 368);"Doubs";"M2";"Est";3;4077555.92412788;2695673.86044689;368;"Upper_point"
"113";c(4078191.38067756, 2695198.5674589, 367);"Doubs";"M2";"Low";3;4078191.38067756;2695198.5674589;367;"Upper_point"
"114";c(4076869.36522772, 2695712.26636226, 361);"Doubs";"M2";"Up";3;4076869.36522772;2695712.26636226;361;"Upper_point"
"115";c(3971946.32960532, 2666277.06943216, 183);"Doubs";"M2";"Est";3;3971946.32960532;2666277.06943216;183;"Lower_point"
"116";c(3974033.12598893, 2665049.00911842, 190);"Doubs";"M2";"Low";3;3974033.12598893;2665049.00911842;190;"Lower_point"
"117";c(3970149.26458694, 2665247.87606791, 187);"Doubs";"M2";"Up";3;3970149.26458694;2665247.87606791;187;"Lower_point"
"118";c(3000134.70689139, 2182550.06735968, 607);"Duero";"M1";"Est";1;3000134.70689139;2182550.06735968;607;"Only_point"
"119";c(3002505.30693217, 2183451.02568748, 611);"Duero";"M1";"Low";1;3002505.30693217;2183451.02568748;611;"Only_point"
"120";c(2997999.43802435, 2177625.49732741, 612);"Duero";"M1";"Up";1;2997999.43802435;2177625.49732741;612;"Only_point"
