"geometry";"rivers";"model_type";"stat";"X";"Y";"alt";"id"
"105";c(3739937.51818257, 2526238.53384095, 585);"Dordogne";"M2";"Up";3739937.51818257;2526238.53384095;585;"Upper_point"
"106";c(3678978.91858746, 2470489.71372268, 163);"Dordogne";"M2";"Est";3678978.91858746;2470489.71372268;163;"Lower_point"
"107";c(3678569.46671372, 2471308.68444302, 153);"Dordogne";"M2";"Low";3678569.46671372;2471308.68444302;153;"Lower_point"
"108";c(3678525.08515894, 2469808.90528573, 175);"Dordogne";"M2";"Up";3678525.08515894;2469808.90528573;175;"Lower_point"
"109";c(4075896.53198715, 2697949.82544999, 355);"Doubs";"M1";"Est";4075896.53198715;2697949.82544999;355;"Only_point"
"110";c(4075887.72009252, 2697060.99091933, 356);"Doubs";"M1";"Low";4075887.72009252;2697060.99091933;356;"Only_point"
"111";c(4076071.44748497, 2698783.59842514, 359);"Doubs";"M1";"Up";4076071.44748497;2698783.59842514;359;"Only_point"
"112";c(4102493.29973512, 2698027.30204192, 434);"Doubs";"M2";"Est";4102493.29973512;2698027.30204192;434;"Upper_point"
"113";c(4104515.1011212, 2698117.18047149, 438);"Doubs";"M2";"Low";4104515.1011212;2698117.18047149;438;"Upper_point"
"114";c(4101036.7146023, 2697182.08878107, 427);"Doubs";"M2";"Up";4101036.7146023;2697182.08878107;427;"Upper_point"
"115";c(4069866.13039157, 2709924.91493541, 300);"Doubs";"M2";"Est";4069866.13039157;2709924.91493541;300;"Lower_point"
"116";c(4071897.96267846, 2711191.68752501, 303);"Doubs";"M2";"Low";4071897.96267846;2711191.68752501;303;"Lower_point"
"117";c(4067395.66700072, 2709691.99417553, 296);"Doubs";"M2";"Up";4067395.66700072;2709691.99417553;296;"Lower_point"
"118";c(3000134.70689139, 2182550.06735968, 607);"Duero";"M1";"Est";3000134.70689139;2182550.06735968;607;"Only_point"
"119";c(3002505.30693217, 2183451.02568748, 611);"Duero";"M1";"Low";3002505.30693217;2183451.02568748;611;"Only_point"
"120";c(2997999.43802435, 2177625.49732741, 612);"Duero";"M1";"Up";2997999.43802435;2177625.49732741;612;"Only_point"
"121";c(2968539.87188211, 2189128.81199318, 477);"Duero";"M2";"Est";2968539.87188211;2189128.81199318;477;"Upper_point"
"122";c(2969468.14616705, 2190422.10712317, 512);"Duero";"M2";"Low";2969468.14616705;2190422.10712317;512;"Upper_point"
